episode,reward,length
1075,14.0,4
1076,14.0,3
1077,-5.0,1
1078,-5.0,1
1079,27.0,2
1080,27.0,2
1081,-5.0,1
1082,28.0,3
1083,26.0,2
1084,28.0,4
1085,11.0,3
1086,24.0,2
1087,-5.0,1
1088,-5.0,1
1089,-5.0,1
1090,30.0,4
1091,-5.0,1
1092,29.0,3
1093,27.0,2
1094,12.0,2
1095,9.0,4
1096,17.0,5
1097,-5.0,1
1098,27.0,2
1099,27.0,2
1100,26.0,3
1101,-5.0,1
1102,-5.0,1
1103,-5.0,1
1104,28.0,3
1105,-5.0,1
1106,16.0,4
1107,-5.0,1
1108,-5.0,1
1109,-5.0,1
1110,11.0,2
1111,26.0,2
1112,28.0,6
1113,14.0,3
1114,25.0,4
1115,29.0,3
1116,-5.0,1
1117,-5.0,1
1118,27.0,3
1119,-5.0,1
1120,-5.0,1
1121,10.0,7
1122,-5.0,1
1123,12.0,2
1124,27.0,2
1125,-5.0,1
1126,-5.0,1
1127,-5.0,1
1128,13.0,3
1129,-5.0,1
1130,26.0,2
1131,29.0,3
1132,-5.0,1
1133,-5.0,1
1134,-13.0,2
1135,-5.0,1
1136,36.0,7
1137,-5.0,1
1138,-5.0,1
1139,7.0,4
1140,-14.0,2
1141,27.0,2
1142,-5.0,1
1143,17.0,5
1144,14.0,3
1145,17.0,5
1146,-5.0,1
1147,12.0,2
1148,26.0,2
1149,12.0,2
1150,-5.0,1
1151,-5.0,1
1152,-5.0,1
1153,-5.0,1
1154,-5.0,1
1155,16.0,4
1156,16.0,4
1157,29.0,4
1158,-5.0,1
1159,29.0,4
1160,-7.0,5
1161,-5.0,1
1162,-5.0,1
1163,27.0,2
1164,-5.0,1
1165,-5.0,1
1166,11.0,3
1167,-5.0,1
1168,-5.0,1
1169,-5.0,1
1170,-6.0,6
1171,17.0,6
1172,-10.0,4
1173,-5.0,1
1174,-5.0,1
1175,26.0,2
1176,16.0,4
1177,8.0,3
1178,15.0,4
1179,-5.0,1
1180,24.0,2
1181,18.0,5
1182,31.0,6
1183,27.0,2
1184,-5.0,1
1185,26.0,5
1186,27.0,2
1187,27.0,2
1188,-5.0,1
1189,15.0,4
1190,13.0,3
1191,14.0,3
1192,-5.0,1
1193,16.0,4
1194,29.0,3
1195,13.0,4
1196,27.0,2
1197,14.0,3
1198,-9.0,4
1199,-5.0,1
1200,14.0,3
1201,-12.0,4
1202,-10.0,4
1203,14.0,3
1204,-5.0,1
1205,-5.0,1
1206,12.0,2
1207,-5.0,1
1208,26.0,3
1209,13.0,3
1210,-5.0,1
1211,-5.0,1
1212,-5.0,1
1213,26.0,2
1214,-5.0,1
1215,-5.0,1
1216,28.0,3
1217,-5.0,1
1218,12.0,3
1219,14.0,3
1220,-5.0,1
1221,16.0,4
1222,-5.0,1
1223,-5.0,1
1224,18.0,5
1225,31.0,4
1226,16.0,4
1227,-5.0,1
1228,12.0,2
1229,-5.0,1
1230,-5.0,1
1231,12.0,2
1232,-5.0,1
1233,-5.0,1
1234,14.0,3
1235,9.0,2
1236,-5.0,1
1237,16.0,4
1238,-21.0,7
1239,29.0,3
1240,16.0,4
1241,-5.0,1
1242,16.0,4
1243,-5.0,1
1244,12.0,2
1245,27.0,2
1246,-5.0,1
1247,-5.0,1
1248,-5.0,1
1249,27.0,2
1250,14.0,3
1251,-5.0,1
1252,12.0,2
1253,16.0,8
1254,-8.0,5
1255,27.0,2
1256,-5.0,1
1257,12.0,5
1258,16.0,4
1259,29.0,3
1260,-5.0,1
1261,16.0,4
1262,-1.0,8
1263,27.0,2
1264,-5.0,1
1265,26.0,2
1266,-5.0,1
1267,18.0,5
1268,14.0,3
1269,10.0,7
1270,27.0,2
1271,12.0,2
1272,27.0,2
1273,12.0,2
1274,-5.0,1
1275,12.0,5
1276,-5.0,1
1277,-5.0,1
1278,11.0,3
1279,26.0,2
1280,34.0,6
1281,12.0,2
1282,27.0,2
1283,27.0,2
1284,17.0,6
1285,-5.0,1
1286,-5.0,1
1287,-5.0,1
1288,12.0,2
1289,12.0,2
1290,29.0,3
1291,14.0,3
1292,9.0,3
1293,27.0,2
1294,-5.0,1
1295,-5.0,1
1296,-5.0,1
1297,12.0,2
1298,-5.0,1
1299,16.0,4
1300,12.0,2
1301,18.0,5
1302,-5.0,1
1303,-5.0,1
1304,16.0,4
1305,-5.0,1
1306,27.0,2
1307,-5.0,1
1308,12.0,2
1309,-5.0,1
1310,18.0,5
1311,-13.0,2
1312,-5.0,1
1313,14.0,3
1314,26.0,2
1315,-5.0,1
1316,18.0,5
1317,16.0,4
1318,-5.0,1
1319,31.0,4
1320,-5.0,1
1321,-5.0,1
1322,18.0,5
1323,22.0,7
1324,27.0,2
1325,20.0,6
1326,27.0,2
1327,32.0,5
1328,29.0,3
1329,-5.0,1
1330,31.0,4
1331,29.0,3
1332,11.0,2
1333,27.0,2
1334,18.0,5
1335,-5.0,1
1336,14.0,3
1337,29.0,3
1338,-5.0,1
1339,-5.0,1
1340,27.0,2
1341,16.0,4
1342,27.0,2
1343,-5.0,1
1344,-5.0,1
1345,-5.0,1
1346,-5.0,1
1347,26.0,2
1348,12.0,2
1349,27.0,2
1350,-5.0,1
1351,12.0,2
1352,-5.0,1
1353,-5.0,1
1354,12.0,2
1355,14.0,3
1356,-5.0,1
1357,-5.0,1
1358,16.0,4
1359,-5.0,1
1360,-5.0,1
1361,27.0,2
1362,15.0,4
1363,16.0,4
1364,-12.0,3
1365,27.0,2
1366,16.0,4
1367,-5.0,1
1368,-5.0,1
1369,-5.0,1
1370,12.0,2
1371,27.0,2
1372,16.0,4
1373,-5.0,1
1374,29.0,3
1375,-5.0,1
1376,12.0,2
1377,16.0,4
1378,16.0,4
1379,27.0,2
1380,-5.0,1
1381,27.0,3
1382,26.0,2
1383,-3.0,7
1384,-5.0,1
1385,-5.0,1
1386,-5.0,1
1387,-5.0,1
1388,29.0,3
1389,14.0,3
1390,-10.0,4
1391,16.0,4
1392,13.0,4
1393,-5.0,1
1394,-5.0,1
1395,11.0,6
1396,16.0,4
1397,-5.0,1
1398,-3.0,7
1399,7.0,4
1400,29.0,3
1401,-5.0,1
1402,26.0,3
1403,27.0,2
1404,-5.0,1
1405,-5.0,1
1406,27.0,2
1407,-5.0,1
1408,29.0,3
1409,27.0,2
1410,24.0,2
1411,6.0,5
1412,28.0,3
1413,-5.0,1
1414,11.0,2
1415,27.0,2
1416,14.0,3
1417,-7.0,8
1418,16.0,4
1419,-5.0,6
1420,26.0,2
1421,18.0,5
1422,-5.0,1
1423,20.0,6
1424,16.0,4
1425,-12.0,3
1426,-5.0,1
1427,16.0,4
1428,-5.0,1
1429,-5.0,1
1430,-5.0,1
1431,-5.0,1
1432,28.0,3
1433,-5.0,1
1434,-5.0,1
